#1_PESD18VF1BL_POS at 60 V_x,#1_PESD18VF1BL_POS at 60 V_y,#1_PESD18VF1BL_POS at 200 V_x,#1_PESD18VF1BL_POS at 200 V_y
-0.0000000003,0.1643916271,-0.0000000003,0.6890506814
-0.0000000002,0.3578155899,-0.0000000002,-1.2803545835
-0.0000000002,1.0115342931,-0.0000000002,-3.4919015381
-0.0000000001,-0.0537018131,-0.0000000001,-1.9013704536
-0.0000000001,-0.7936609194,-0.0000000001,0.7863422464
0.,0.2928187263,0.,3.6344231018
0.0000000001,-0.5865599080,0.0000000001,2.4797294944
0.0000000001,-0.1181458959,0.0000000001,-1.2957488104
0.0000000002,0.5046700619,0.0000000002,-3.8473012803
0.0000000002,1.9179463688,0.0000000002,-2.7252000883
0.0000000003,3.16622774,0.0000000003,7.0247730822
0.0000000003,5.0713589513,0.0000000003,24.6438876652
0.0000000004,11.8843064374,0.0000000004,43.9700857566
0.0000000004,19.9206740368,0.0000000004,59.6524663752
0.0000000005,31.2762223139,0.0000000005,60.8974193186
0.0000000005,43.4694634708,0.0000000005,53.3724135215
0.0000000006,49.4177805936,0.0000000006,39.3245402672
0.0000000006,50.9884792460,0.0000000006,24.6216431981
0.0000000007,46.6675290371,0.0000000007,18.3851237516
0.0000000007,40.0096127891,0.0000000007,18.4229001287
0.0000000008,33.5069387398,0.0000000008,22.8101840233
0.0000000008,28.3498251796,0.0000000008,27.3581231067
0.0000000009,26.7478655299,0.0000000009,28.1918501117
0.0000000009,26.8223598766,0.0000000009,22.5023689986
0.000000001,28.4890428803,0.000000001,17.6457338419
0.0000000010,25.8550540836,0.0000000010,15.9923785652
0.0000000011,22.3277432810,0.0000000011,17.065642238
0.0000000011,20.1172654956,0.0000000011,17.7116849576
0.0000000012,18.3234078676,0.0000000012,20.4274325338
0.0000000012,16.5442022115,0.0000000012,19.8088704247
0.0000000013,16.4230734449,0.0000000013,16.3220757425
0.0000000013,17.9156073988,0.0000000013,13.2215890076
0.0000000014,16.7537748745,0.0000000014,11.5059246413
0.0000000014,15.5932235159,0.0000000014,15.1443238714
0.0000000015,14.3007962646,0.0000000015,16.5786211823
0.0000000015,13.9747912977,0.0000000015,17.9115639660
0.0000000016,12.8594491661,0.0000000016,17.2571175060
0.0000000016,13.8713218058,0.0000000016,14.3992509886
0.0000000017,16.0321643859,0.0000000017,12.3291496050
0.0000000017,15.6010248585,0.0000000017,12.2294619029
0.0000000018,14.5529990181,0.0000000018,14.3928249406
0.0000000018,13.5847409777,0.0000000018,16.6491007286
0.0000000019,12.6666791262,0.0000000019,17.3197748298
0.0000000019,12.8933899599,0.0000000019,17.5648748394
0.000000002,13.4889401233,0.000000002,14.9094283419
0.0000000020,13.5190872721,0.0000000020,14.0295639385
0.0000000021,14.4319798434,0.0000000021,13.6049645346
0.0000000021,12.8310495397,0.0000000021,14.0401449695
0.0000000022,12.9604125542,0.0000000022,16.8045455055
0.0000000022,11.352625079,0.0000000022,15.9821413311
0.0000000023,11.4073101041,0.0000000023,16.7597201020
0.0000000023,12.9057309439,0.0000000023,14.1020768363
0.0000000024,12.6972712680,0.0000000024,11.8411369962
0.0000000024,12.3281500464,0.0000000024,12.3059797028
0.0000000025,12.0537497748,0.0000000025,13.2389229925
0.0000000025,13.3388179426,0.0000000025,14.8268986598
0.0000000026,11.9195390086,0.0000000026,15.0802075057
0.0000000026,11.7715220250,0.0000000026,14.7935462958
0.0000000027,11.7662109466,0.0000000027,14.3135459765
0.0000000027,12.6898579118,0.0000000027,13.4511403465
0.0000000028,12.9533908061,0.0000000028,13.2869097038
0.0000000028,12.1254030894,0.0000000028,13.7722367382
0.0000000029,11.2990554758,0.0000000029,14.005692355
0.0000000029,11.8225953934,0.0000000029,14.9542707493
0.000000003,11.8562330456,0.000000003,13.9548980700
0.0000000030,11.0817757611,0.0000000030,12.6384076607
0.0000000031,12.9040903658,0.0000000031,13.0981243701
0.0000000031,11.6513799391,0.0000000031,13.6622010537
0.0000000032,10.9899410124,0.0000000032,13.8903109155
0.0000000032,12.9525483634,0.0000000032,15.1593630522
0.0000000033,12.5473130975,0.0000000033,13.9353415534
0.0000000033,11.3209269464,0.0000000033,12.9985639214
0.0000000034,11.5305924067,0.0000000034,13.777026199
0.0000000034,11.1936970699,0.0000000034,13.4283992762
0.0000000035,11.3743463632,0.0000000035,13.6160128228
0.0000000035,11.9007558241,0.0000000035,14.4638679609
0.0000000036,10.7756306398,0.0000000036,15.3930910720
0.0000000036,11.4464800754,0.0000000036,14.6553195199
0.0000000037,11.5888776798,0.0000000037,14.0803161109
0.0000000037,11.0820931137,0.0000000037,13.9848923753
0.0000000038,11.6486605052,0.0000000038,13.648537132
0.0000000038,11.5190230973,0.0000000038,13.2723959494
0.0000000039,11.5471532614,0.0000000039,14.0861892727
0.0000000039,11.0866887852,0.0000000039,13.8649436830
0.000000004,11.7757075107,0.000000004,12.6584952524
0.0000000040,11.2045897606,0.0000000040,12.3297026474
0.0000000041,11.5098930761,0.0000000041,11.9316530771
0.0000000041,11.1975892476,0.0000000041,12.8271713447
0.0000000042,11.1124412811,0.0000000042,12.9607716055
0.0000000042,11.9995975022,0.0000000042,13.5471731329
0.0000000043,11.2765255631,0.0000000043,13.4508231326
0.0000000043,11.2341002538,0.0000000043,12.7318690813
0.0000000044,11.1763688069,0.0000000044,12.9066429892
0.0000000044,11.2780821606,0.0000000044,13.6373408649
0.0000000045,11.1617877756,0.0000000045,13.6250982320
0.0000000045,11.7402421449,0.0000000045,13.5087799966
0.0000000046,10.3894803166,0.0000000046,13.1071497436
0.0000000046,10.1058529315,0.0000000046,13.1239331681
0.0000000047,10.7356237769,0.0000000047,13.3241342271
0.0000000047,11.6278453490,0.0000000047,13.3527225506
0.0000000048,11.9181259162,0.0000000048,13.1831458088
0.0000000048,12.0031145808,0.0000000048,13.0794170173
0.0000000049,11.3544751815,0.0000000049,13.8129996057
0.0000000049,11.4102048403,0.0000000049,13.5666603968
0.000000005,12.181596666,0.000000005,14.0626312728
0.0000000050,10.8017535236,0.0000000050,12.9880579211
0.0000000051,11.2777704990,0.0000000051,13.9079351332
0.0000000051,12.0347433916,0.0000000051,14.8904102551
0.0000000052,11.5009608695,0.0000000052,14.3344045844
0.0000000052,10.9797656175,0.0000000052,13.0373188476
0.0000000053,10.0440787620,0.0000000053,11.7807317857
0.0000000053,9.7772253603,0.0000000053,10.1462747075
0.0000000054,9.6657847607,0.0000000054,7.4885483017
0.0000000054,8.0845283488,0.0000000054,6.2974785742
0.0000000055,7.5511348734,0.0000000055,4.5941038787
0.0000000055,6.4859273898,0.0000000055,4.5888788334
0.0000000056,5.6534023688,0.0000000056,2.920329614
0.0000000056,4.8852699675,0.0000000056,1.9297368473
0.0000000057,4.4871388084,0.0000000057,1.9979261704
0.0000000057,3.1529619169,0.0000000057,1.1761665878
0.0000000058,2.3701379612,0.0000000058,0.2128445405
0.0000000058,1.7080422005,0.0000000058,-0.8008345557
0.0000000059,1.5797103258,0.0000000059,0.3208384141
0.0000000059,1.6255191033,0.0000000059,0.607921047
0.000000006,1.9172487797,0.000000006,0.9087367417
0.0000000060,2.1202941522,0.0000000060,0.2992648267
0.0000000061,1.0404770072,0.0000000061,0.3051910562
0.0000000061,1.8049366479,0.0000000061,0.8008306683
0.0000000062,1.8702262129,0.0000000062,0.9438136736
0.0000000062,1.4937622685,0.0000000062,1.9387605144
0.0000000063,1.913496749,0.0000000063,1.6517937391
0.0000000063,2.4134891243,0.0000000063,0.8898339992
0.0000000064,1.1538845575,0.0000000064,1.8042036949
0.0000000064,1.6918939004,0.0000000064,1.981992956
0.0000000065,1.9974266885,0.0000000065,2.6241245562
0.0000000065,1.5645728275,0.0000000065,2.7114950815
0.0000000066,2.0451056089,0.0000000066,2.6808966159
0.0000000066,1.4093761072,0.0000000066,1.6580225441
0.0000000067,2.3282444386,0.0000000067,1.1035249245
0.0000000067,2.4826863863,0.0000000067,1.4206364365
0.0000000068,0.5607605357,0.0000000068,1.6747271275
0.0000000068,0.6846171147,0.0000000068,1.9377043946
0.0000000069,1.2377054255,0.0000000069,-0.0824433327
0.0000000069,1.2257752504,0.0000000069,0.583312051
0.000000007,1.7360978177,0.000000007,0.6572218531
0.0000000070,1.3891848193,0.0000000070,-0.1703020728
0.0000000071,1.5533779363,0.0000000071,-0.5362562979
0.0000000071,1.6263570058,0.0000000071,0.5057488288
0.0000000072,1.6513290394,0.0000000072,0.9142889076
0.0000000072,1.5156029223,0.0000000072,1.1063568915
0.0000000073,0.6585965019,0.0000000073,1.5714170522
0.0000000073,1.3256531506,0.0000000073,0.9735030786
0.0000000074,2.1902551161,0.0000000074,1.7509444106
0.0000000074,1.9891494426,0.0000000074,1.9270216393
0.0000000075,1.6955158317,0.0000000075,1.6527617523
0.0000000075,1.1332937104,0.0000000075,1.6630322783
0.0000000076,1.3417393067,0.0000000076,1.7986949218
0.0000000076,1.2253346318,0.0000000076,1.6058923639
0.0000000077,1.4361312079,0.0000000077,2.4661302801
0.0000000077,2.2795844405,0.0000000077,2.3337570768
0.0000000078,1.0666800997,0.0000000078,1.7816475724
0.0000000078,0.9006568012,0.0000000078,2.6863546298
0.0000000079,0.9922402105,0.0000000079,2.111469129
0.0000000079,1.8195983405,0.0000000079,2.4198303918
